,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TOMM7,1.71381032561562e-118,-0.61913997402514,0.888,0.978,3.19779868656618e-114
CALR,5.91384042217284e-118,0.857073336452012,0.974,0.718,1.10346348437323e-113
UCHL1,7.29140654277771e-116,-0.816170936812782,0.618,0.94,1.36050354681689e-111
MTRNR2L12,2.52684883558987e-115,-1.17783609849586,0.899,0.992,4.71484724232714e-111
BSG,2.78789181049797e-114,0.694650798192097,0.986,0.869,5.20192732920817e-110
CHGB,1.16510868044857e-109,0.750933587075188,0.994,0.948,2.17397628684899e-105
MFSD2A,2.08227189446575e-109,-0.995125657735823,0.098,0.565,3.88531112788363e-105
TUBA1A,2.29761380899655e-109,-0.829880768172055,0.886,0.984,4.28711760620667e-105
WFDC2,1.97444064759691e-108,0.817196203691461,0.831,0.342,3.68410880435108e-104
BCAM,5.10897089328611e-108,0.808083824049849,0.917,0.563,9.53282878978255e-104
SOX4,6.29705039128514e-107,-0.987441452551518,0.763,0.972,1.17496663250989e-102
RAMP1,2.03485692945018e-106,0.778439045665545,0.639,0.105,3.79683954466108e-102
RPL36,6.4570085578231e-106,-0.550364157023255,0.998,0.998,1.20481322680421e-101
ATP5F1E,2.49662249689256e-105,-0.594357668687603,0.726,0.93,4.65844791695183e-101
RPL34,1.28649275865061e-101,-0.627764264094581,0.999,0.998,2.40046683836617e-97
TMEM14C,3.16519131298147e-101,0.576296273934133,0.985,0.827,5.90593047089213e-97
TMA7,9.69116972067622e-101,0.524714511786134,0.997,0.93,1.80827535818098e-96
EIF4A2,3.02488650458435e-100,0.605257101999216,0.975,0.744,5.64413572890394e-96
CPA5,8.00597428715743e-98,-0.677716643111011,0.177,0.656,1.49383474224071e-93
HIST1H4C,3.7736889213204e-97,-0.912539157089255,0.268,0.742,7.04132615829174e-93
TAGLN2,6.2977442388442e-97,-0.85902853886372,0.267,0.646,1.17509609752594e-92
PDIA6,1.02529443063125e-95,0.748135876887436,0.949,0.738,1.91309687811485e-91
CNTNAP2,1.11147029511175e-94,-0.674266776488158,0.432,0.793,2.07389242364902e-90
SLIRP,3.20264905050627e-94,-0.564578460427763,0.369,0.791,5.97582286333965e-90
NPC2,1.12546013847783e-93,0.68412303978276,0.593,0.099,2.09999607238579e-89
CA9,1.35182194046463e-93,0.794056671202712,0.642,0.129,2.52236455871296e-89
VAMP8,8.84730905075339e-93,0.484889797250412,0.448,0.012,1.65081939578007e-88
SPCS1,4.65097247842557e-91,0.603311412877936,0.901,0.561,8.67824954749427e-87
GTSF1,1.09782667740515e-90,-0.373823289650039,0,0.296,2.04843479737026e-86
BMP8B,4.2584791448847e-90,-0.773380016212083,0.421,0.736,7.94589623644035e-86
RPL32,2.88147710223205e-89,0.51217416273723,1,0.998,5.37654812505478e-85
RPL27,4.30877669340212e-88,-0.514298778723279,0.93,0.984,8.03974643221901e-84
H1FX,5.19176841301813e-87,0.666067277537365,0.767,0.31,9.68732068185053e-83
BRK1,1.5944182338678e-85,0.538521600179443,0.958,0.716,2.97502498257393e-81
CYBA,3.94722214974406e-85,0.828574451802591,0.765,0.324,7.36512180920744e-81
DIRAS3,3.32450213682688e-84,-0.676806833868758,0.143,0.565,6.20318853710528e-80
RPLP2,8.44239797191645e-83,-0.447462772303099,0.999,0.998,1.57526703757989e-78
MEIS2,1.47280319745556e-82,-0.665938180078987,0.562,0.867,2.74810348613233e-78
RPS19,1.79352931399242e-80,-0.489275407047651,0.999,1,3.34654634697846e-76
EEF2,7.48295086052022e-80,-0.47617568710547,0.99,1,1.39624380106447e-75
PEG10,5.3269895190198e-79,-0.696181064231265,0.292,0.672,9.93962974353904e-75
EIF1B,3.17692598363249e-78,0.558968071085748,0.827,0.416,5.92782619285986e-74
RPL39,8.95916350292733e-78,-0.540917105399793,0.998,1,1.67169031801121e-73
PPP1R17,1.11788844484822e-77,-0.396812807874738,0,0.256,2.08586804924229e-73
EVC2,1.13215956152882e-77,-0.558332538017563,0.043,0.402,2.11249652585662e-73
LGALS3BP,1.28916655728625e-77,0.609723250437431,0.874,0.551,2.40545587924042e-73
RGS7,1.69679730212601e-77,-0.410221398737789,0.034,0.386,3.16605408603693e-73
CD63,2.89635213645424e-76,0.552874366113073,0.97,0.805,5.40430345140996e-72
MME,8.18429523761554e-76,0.444288443852337,0.413,0.022,1.52710764838668e-71
TSPAN13,3.3808115960111e-75,-0.369063701186859,0.039,0.39,6.30825635699711e-71
HSPA1A,3.4528439266434e-75,-1.10128261760787,0.867,0.938,6.44266148272391e-71
