,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
CACNA1F,0.0247026532479414,0.00571725571725572,0.0119284294234592,0.00555996822875298
CCDC22,0.0677035681610247,0.0602910602910603,0.0715705765407555,0.0826052422557585
PPP1R3F,0.0750228728270814,0.0311850311850312,0.0755467196819085,0.0992851469420175
AC232271.1,0.00182982616651418,0.00363825363825364,0.00198807157057654,0.00158856235107228
USP27X-AS1,0.00640439158279963,0.00467775467775468,0.0178926441351889,0.0039714058776807
USP27X,0.060384263494968,0.0332640332640333,0.0874751491053678,0.0365369340746624
CLCN5,0.030192131747484,0.0109147609147609,0.0357852882703777,0.00555996822875298
CCNB3,0.00182982616651418,0.00363825363825364,0.0099403578528827,0.00873709293089754
NUDT11,0.00182982616651418,0.00051975051975052,0.00397614314115308,0.00158856235107228
GSPT2,0.110704483074108,0.0644490644490645,0.145129224652087,0.0786338363780778
MAGED1,0.52516010978957,0.396569646569647,0.667992047713718,0.46703733121525
FAM156A,0.00274473924977127,0.00363825363825364,0.00198807157057654,0.00158856235107228
GPR173,0.030192131747484,0.0135135135135135,0.047713717693837,0.0135027799841144
TSPYL2,0.340347666971638,0.178274428274428,0.395626242544732,0.20174741858618
KANTR,0.0850869167429094,0.0608108108108108,0.0815109343936382,0.0420969023034154
KDM5C,0.129917657822507,0.0977130977130977,0.174950298210736,0.115965051628276
IQSEC2,0.0173833485818847,0.00675675675675676,0.0139165009940358,0.0174741858617951
SMC1A,0.282708142726441,0.18970893970894,0.36182902584493,0.244638602065131
RIBC1,0.00823421774931381,0.0285862785862786,0.0278330019880716,0.0349483717235902
HSD17B10,0.444647758462946,0.358627858627859,0.447316103379722,0.429706115965052
HUWE1,0.29551692589204,0.186590436590437,0.375745526838966,0.203335980937252
PHF8,0.0677035681610247,0.0940748440748441,0.0854870775347912,0.10484511517077
FAM120C,0.0622140896614822,0.04002079002079,0.0755467196819085,0.0563939634630659
WNK3,0.123513266239707,0.0608108108108108,0.111332007952286,0.0651310563939635
TSR2,0.200365965233303,0.216216216216216,0.222664015904573,0.242255758538523
FGD1,0.0841720036596523,0.0571725571725572,0.095427435387674,0.079428117553614
GNL3L,0.0539798719121683,0.0244282744282744,0.0516898608349901,0.0246227164416203
MAGED2,0.393412625800549,0.426195426195426,0.407554671968191,0.496425734710087
TRO,0.0768526989935956,0.0332640332640333,0.099403578528827,0.0436854646544877
APEX2,0.0576395242451967,0.0483367983367983,0.0854870775347912,0.0635424940428912
PAGE2B,0.0219579139981702,0.00051975051975052,0.00795228628230616,0
FAM104B,0.230558096980787,0.157484407484407,0.226640159045726,0.181890389197776
