,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
FAM49A,0.0111028867505551,0.0165866433871672,0.0174880763116057,0.0304477611940299
SMC6,0.114729829755736,0.0803142732431253,0.162162162162162,0.149850746268657
GEN1,0.0281273131014064,0.0235704932343955,0.0476947535771065,0.0316417910447761
KCNS3,0.0355292376017765,0.108249672632038,0.0604133545310016,0.16955223880597
AC079148.1,0.00444115470022206,0.00305543430816237,0,0.00417910447761194
RDH14,0.25980754996299,0.243998254037538,0.41335453100159,0.360597014925373
LINC01376,0.00592153960029608,0.00960279353993889,0.0095389507154213,0.00656716417910448
OSR1,0.00370096225018505,0.00654735923177652,0.00635930047694754,0.00895522388059702
LINC00954,0.00592153960029608,0.0104757747708424,0.0111287758346582,0.013134328358209
TTC32,0.193930421909697,0.12352684417285,0.254372019077901,0.199402985074627
WDR35,0.151739452257587,0.0899170667830642,0.186009538950715,0.0949253731343284
AC079145.1,0.0362694300518135,0.030117852466172,0.0302066772655008,0.0465671641791045
MATN3,0.00814211695040711,0,0.0127186009538951,0
LAPTM4A,1.13841598815692,1.09297250109123,1.38473767885533,1.87701492537313
AC098828.2,0.00666173205033309,0.00261894369271061,0.0095389507154213,0.00537313432835821
SDC1,0.0362694300518135,0.0750763858577041,0.0461049284578696,0.0865671641791045
PUM2,0.285714285714286,0.240069838498472,0.373608903020668,0.338507462686567
RHOB,3.22057735011103,1.21388040157137,4.05087440381558,2.69253731343284
HS1BP3,0.0518134715025907,0.0445220427760803,0.0763116057233704,0.0644776119402985
LDAH,0.074759437453738,0.0584897424705369,0.106518282988871,0.0955223880597015
LINC01830,0.00518134715025907,0,0.00635930047694754,0
AC012506.3,0.0903034789045152,0.0593627237014404,0.130365659777424,0.0973134328358209
AC012506.4,0.00370096225018505,0,0,0
KLHL29,0.0614359733530718,0.0519423832387604,0.101748807631161,0.0626865671641791
AC009242.1,0.0074019245003701,0.0165866433871672,0,0.0185074626865672
ATAD2B,0.0569948186528497,0.0449585333915321,0.0747217806041336,0.0513432835820896
UBXN2A,0.221317542561066,0.175469227411611,0.298887122416534,0.214925373134328
WDCP,0.0222057735011103,0.0222610213880402,0.0620031796502385,0.0292537313432836
FKBP1B,0.0325684678016284,0.0135312090790048,0.0286168521462639,0.0561194029850746
SF3B6,1.48186528497409,1.20646006110869,1.71065182829889,1.94626865671642
FAM228B,0.0703182827535159,0.0615451767786993,0.101748807631161,0.11044776119403
TP53I3,0.0347890451517395,0.0894805761676124,0.0492845786963434,0.152238805970149
PFN4,0.00296076980014804,0.00261894369271061,0.0095389507154213,0.00716417910447761
ITSN2,0.105107327905255,0.100829332169358,0.186009538950715,0.155223880597015
NCOA1,0.102146558105107,0.0728939327804452,0.174880763116057,0.109253731343284
PTRHD1,0.527017024426351,0.343954604975993,0.602543720190779,0.481194029850746
CENPO,0.0281273131014064,0.0257529463116543,0.0667726550079491,0.0328358208955224
ADCY3,0.0636565507031828,0.0419030990833697,0.0842607313195548,0.0644776119402985
DNAJC27,0.0621761658031088,0.0436490615451768,0.0810810810810811,0.0477611940298507
DNAJC27-AS1,0.0325684678016284,0.018769096464426,0.0222575516693164,0.026865671641791
EFR3B,0.104367135455218,0.116542994325622,0.146263910969793,0.128955223880597
POMC,0.0125832716506292,0.0226975120034919,0.014308426073132,0.0328358208955224
DNMT3A,0.131014063656551,0.0724574421649934,0.214626391096979,0.118208955223881
AC012074.1,0.00444115470022206,0,0.00794912559618442,0
DTNB,0.118430792005922,0.117415975556526,0.155802861685215,0.137910447761194
ASXL2,0.0836417468541821,0.0672195547795722,0.117647058823529,0.0949253731343284
KIF3C,0.122871946706144,0.0336097773897861,0.181240063593005,0.066865671641791
RAB10,0.387120651369356,0.290702749890877,0.51510333863275,0.506865671641791
GAREM2,0.00888230940044412,0.00567437800087298,0.0174880763116057,0.00597014925373134
HADHA,0.432272390821614,0.391968572675687,0.710651828298887,0.675820895522388
HADHB,0.263508512213175,0.268441728502837,0.41335453100159,0.455522388059701
ADGRF3,0.00370096225018505,0.00218245307725884,0.00794912559618442,0.00358208955223881
SELENOI,0.16580310880829,0.0763858577040594,0.208267090620032,0.111044776119403
DRC1,0.0310880829015544,0.0606721955477957,0.0381558028616852,0.106865671641791
C2orf70,0.0414507772020725,0.0576167612396334,0.0969793322734499,0.0961194029850746
KCNK3,0.0518134715025907,0.0781318201658664,0.0922098569157393,0.10865671641791
SLC35F6,0.0392301998519615,0.0366652116979485,0.0572337042925278,0.062089552238806
CENPA,0.076239822353812,0.0183326058489742,0.0747217806041336,0.0805970149253731
DPYSL5,0.0643967431532198,0.0148406809253601,0.12241653418124,0.0191044776119403
MAPRE3,0.208734270910437,0.184635530336098,0.305246422893482,0.275820895522388
TMEM214,0.0577350111028868,0.0519423832387604,0.104928457869634,0.0859701492537313
AGBL5,0.0621761658031088,0.0475774770842427,0.0985691573926868,0.0686567164179104
OST4,2.20059215396003,2.08904408555216,2.7027027027027,2.37731343283582
EMILIN1,0.0318282753515914,0.0327367961588826,0.0206677265500795,0.192238805970149
KHK,0.0725388601036269,0.0667830641641205,0.0937996820349762,0.109253731343284
CGREF1,0.0199851961509993,0.00698384984722828,0.0317965023847377,0.00776119402985075
ABHD1,0.00444115470022206,0.00218245307725884,0,0.00358208955223881
PREB,0.179866765358993,0.137494543867307,0.259141494435612,0.22865671641791
SLC5A6,0.0495928941524796,0.0344827586206897,0.0937996820349762,0.0477611940298507
ATRAID,0.634344929681717,1,0.837837837837838,1.62149253731343
CAD,0.0643967431532198,0.0414666084679179,0.0922098569157393,0.0644776119402985
SLC30A3,0.0370096225018505,0,0.0365659777424483,0
MPV17,0.210954848260548,0.146660846791794,0.278219395866455,0.20955223880597
GTF3C2,0.0947446336047372,0.0597992143168922,0.14308426073132,0.0895522388059701
AC074117.1,0.0185048112509252,0.0178961152335225,0.0158982511923688,0.0173134328358209
EIF2B4,0.148038490007402,0.105630728939328,0.192368839427663,0.164179104477612
SNX17,0.199851961509993,0.19511130510694,0.310015898251192,0.320597014925373
ZNF513,0.0310880829015544,0.0192055870798778,0.0492845786963434,0.0423880597014925
PPM1G,0.636565507031828,0.393278044522043,0.976152623211447,0.674029850746269
NRBP1,0.202812731310141,0.160628546486251,0.357710651828299,0.290746268656716
KRTCAP3,0.228719467061436,0.168921868179834,0.281399046104928,0.275223880597015
IFT172,0.0273871206513694,0.0410301178524662,0.0604133545310016,0.0388059701492537
FNDC4,0.0340488527017024,0.0135312090790048,0.0349761526232114,0.053134328358209
ZNF512,0.176905995558845,0.127891750327368,0.298887122416534,0.152238805970149
CCDC121,0.0362694300518135,0.0253164556962025,0.0731319554848967,0.0423880597014925
GPN1,0.0932642487046632,0.0964644260148407,0.144674085850556,0.133134328358209
SUPT7L,0.159881569207994,0.123963334788302,0.252782193958665,0.217313432835821
SLC4A1AP,0.105107327905255,0.100392841553907,0.195548489666137,0.170746268656716
MRPL33,1.57068837897853,0.63465735486687,1.77106518282989,0.954626865671642
RBKS,0.0503330866025167,0.0436490615451768,0.0635930047694754,0.0776119402985075
BABAM2,0.077720207253886,0.0641641204714099,0.163751987281399,0.0913432835820896
FOSL2,0.077720207253886,0.073330423395897,0.0937996820349762,0.111044776119403
PLB1,0.0273871206513694,0.0200785683107813,0.0381558028616852,0.0316417910447761
AC092164.1,0.00814211695040711,0.00523788738542121,0.0095389507154213,0.00895522388059702
PPP1CB,0.492968171724648,0.450021824530773,0.718600953895072,0.705671641791045
SPDYA,0.0421909696521095,0.0213880401571366,0.0588235294117647,0.0340298507462687
AC097724.1,0.00518134715025907,0,0,0
TRMT61B,0.110288675055514,0.084679179397643,0.154213036565978,0.101492537313433
WDR43,0.116210214655811,0.0759493670886076,0.192368839427663,0.115820895522388
CLIP4,0.0333086602516654,0.0253164556962025,0.0445151033386327,0.0388059701492537
ALK,0.00592153960029608,0,0,0
YPEL5,0.347150259067358,0.303360977738979,0.457869634340223,0.540298507462687
LBH,0.169504071058475,0.0877346137058053,0.311605723370429,0.2
LCLAT1,0.0703182827535159,0.0628546486250546,0.125596184419714,0.0567164179104478
CAPN13,0.0355292376017765,0.0305543430816237,0.0667726550079491,0.0382089552238806
GALNT14,0.0148038490007402,0.00261894369271061,0.0238473767885533,0.00537313432835821
EHD3,0.0199851961509993,0.0139676996944566,0.0317965023847377,0.0262686567164179
MEMO1,0.0695780903034789,0.0445220427760803,0.0937996820349762,0.0602985074626866
DPY30,0.829015544041451,0.687036228721082,1.05405405405405,1.29373134328358
SPAST,0.0843819393042191,0.0510694020078568,0.0985691573926868,0.0734328358208955
AL121658.1,0.0118430792005922,0.00611086861632475,0.0127186009538951,0.0119402985074627
SLC30A6,0.075499629903775,0.0755128764731558,0.0906200317965024,0.0847761194029851
YIPF4,0.402664692820133,0.328677433435181,0.48966613672496,0.50089552238806
BIRC6,0.287934863064397,0.197730248799651,0.394276629570747,0.238208955223881
TTC27,0.0347890451517395,0.0222610213880402,0.0540540540540541,0.0477611940298507
LTBP1,0.0451517394522576,0.0728939327804452,0.0890302066772655,0.198805970149254
RASGRP3,0.0118430792005922,0.00654735923177652,0,0.0107462686567164
FAM98A,0.0643967431532198,0.0340462680052379,0.0842607313195548,0.0495522388059702
CRIM1,0.0222057735011103,0.0100392841553907,0.0190779014308426,0.022089552238806
FEZ2,0.135455218356773,0.0597992143168922,0.162162162162162,0.146865671641791
STRN,0.0555144337527757,0.0222610213880402,0.0651828298887122,0.071044776119403
HEATR5B,0.0932642487046632,0.0755128764731558,0.135135135135135,0.0901492537313433
GPATCH11,0.0540340488527017,0.0597992143168922,0.0874403815580286,0.071044776119403
EIF2AK2,0.208734270910437,0.188563945875164,0.325914149443561,0.284179104477612
CEBPZOS,0.246484085862324,0.206896551724138,0.305246422893482,0.275820895522388
CEBPZ,0.299037749814952,0.175905718027062,0.440381558028617,0.282388059701493
NDUFAF7,0.0888230940044412,0.0580532518550851,0.124006359300477,0.0746268656716418
PRKD3,0.0170244263508512,0.0165866433871672,0.0158982511923688,0.0316417910447761
QPCT,0.0251665433012583,0.0218245307725884,0.0365659777424483,0.0441791044776119
CDC42EP3,0.296076980014804,0.152771715408119,0.467408585055644,0.307462686567164
RMDN2,0.0103626943005181,0.0117852466171977,0.00635930047694754,0.0191044776119403
CYP1B1,0.0473723168023686,0.084679179397643,0.0763116057233704,0.207164179104478
ATL2,0.0821613619541081,0.0501964207769533,0.136724960254372,0.0752238805970149
HNRNPLL,0.184307920059215,0.169358358795286,0.268680445151033,0.321791044776119
GALM,0.0140636565507032,0.0178961152335225,0.0238473767885533,0.0334328358208955
SRSF7,1.29311621021466,0.701003928415539,1.83942766295707,1.26805970149254
GEMIN6,0.10880829015544,0.0724574421649934,0.154213036565978,0.0967164179104478
DHX57,0.0651369356032568,0.0309908336970755,0.117647058823529,0.04
