,met1,met2
LINC01714,0.0056390977443609,0.00125667609173735
SLC45A1,0.0275689223057644,0.0056550424128181
RERE,0.425438596491228,0.280867106503299
AL357552.2,0.0018796992481203,0.000628338045868677
ENO1,3.49498746867168,3.12378259503613
ENO1-AS1,0.0238095238095238,0.0116242538485705
CA6,0.006265664160401,0.0556079170593779
SLC2A5,0.0037593984962406,0.000628338045868677
GPR157,0.0119047619047619,0.0197926484448633
MIR34AHG,0.0144110275689223,0.0197926484448633
LINC01759,0.0219298245614035,0.0248193528118128
H6PD,0.0300751879699248,0.022306000628338
SPSB1,0.0087719298245614,0.0229343386742067
SLC25A33,0.18671679197995,0.132265158655357
TMEM201,0.0576441102756892,0.0386427898209237
PIK3CD,0.0100250626566416,0.00691171850455545
PIK3CD-AS2,0.0852130325814536,0.0276468740182218
CLSTN1,0.31077694235589,0.390512095507383
CTNNBIP1,0.300751879699248,0.248193528118128
LZIC,0.169799498746867,0.183788878416588
NMNAT1,0.0213032581453634,0.0179076343072573
RBP7,0.0106516290726817,0.0179076343072573
UBE4B,0.260025062656642,0.0967640590637763
KIF1B,0.415413533834586,0.235940936223688
PGD,0.776942355889724,0.59880615771285
AL139424.1,0.0012531328320802,0.000942507068803016
CENPS-CORT,0.006265664160401,0.00345585925227773
CENPS,0.0413533834586466,0.0241910147659441
CORT,0.0037593984962406,0.00157084511467169
DFFA,0.141604010025063,0.120012566760917
AL354956.1,0.0018796992481203,0.00125667609173735
PEX14,0.0908521303258145,0.0782280867106503
CASZ1,0.0864661654135338,0.0942507068803016
AL139423.1,0.0018796992481203,0.00125667609173735
C1orf127,0.298245614035088,0.255105246622683
TARDBP,0.214912280701754,0.286836317939051
MASP2,0.0025062656641604,0.00502670436694942
AL109811.3,0.0169172932330827,0.0254476908576814
SRM,0.829573934837093,0.796104304115614
EXOSC10,0.280075187969925,0.234055922086082
AL109811.1,0.0068922305764411,0.00125667609173735
