,met1,met2
KSR2,0.165656565656566,0.0678265254664649
RFC5,0.133838383838384,0.111699445284922
WSB2,0.182828282828283,0.189611699445285
VSIG10,0.0570707070707071,0.0524457892082703
PEBP1,2.46111111111111,2.29803328290469
TAOK3,0.219191919191919,0.187846696923853
SUDS3,0.316666666666667,0.285930408472012
LINC02440,0.0181818181818182,0
SRRM4,0.163636363636364,0.0985879979828543
HSPB8,0.0898989898989899,0.0718608169440242
TMEM233,0.00404040404040404,0.00327786182551689
PRKAB1,0.097979797979798,0.0832072617246596
CIT,0.0808080808080808,0.0723651033787191
BICDL1,0.0712121212121212,0.0446293494704992
RAB35,0.0772727272727273,0.0521936459909228
AC004812.2,0.0621212121212121,0.0360564800806858
GCN1,0.0954545454545455,0.0695915279878971
RPLP0,27.7030303030303,19.6686838124054
PXN-AS1,0.0838383838383838,0.0489157841654059
PXN,0.182323232323232,0.146999495713565
AC004263.1,0.00252525252525253,0
SIRT4,0.0146464646464646,0.00706001008572869
MSI1,0.0297979797979798,0.00403429147755925
COX6A1,4.99292929292929,4.91250630358043
TRIAP1,0.235858585858586,0.214069591527988
GATC,0.107070707070707,0.053958648512355
SRSF9,0.922727272727273,0.891326273323248
DYNLL1,3.17323232323232,3.80937972768533
NRAV,0.0424242424242424,0.0582450832072617
COQ5,0.128787878787879,0.100857286938981
RNF10,0.292424242424242,0.243318204740292
POP5,0.225757575757576,0.237014624306606
CABP1,0.00505050505050505,0
MLEC,0.436868686868687,0.306101865859808
UNC119B,0.109090909090909,0.0736258194654564
ACADS,0.0565656565656566,0.0718608169440242
SPPL3,0.139393939393939,0.121028744326778
C12orf43,0.0611111111111111,0.0443772062531518
OASL,0.0121212121212121,0.0143721633888048
P2RX7,0.0196969696969697,0.0110943015632879
P2RX4,0.0686868686868687,0.0963187090267272
CAMKK2,0.0737373737373737,0.0574886535552194
ANAPC5,0.464646464646465,0.408219868885527
RNF34,0.106565656565657,0.0877458396369138
KDM2B,0.112626262626263,0.0774079677256682
ORAI1,0.0252525252525253,0.027231467473525
MORN3,0.0232323232323232,0.0118507312153303
TMEM120B,0.0333333333333333,0.0153807362581947
RHOF,0.0348484848484849,0.0342914775592537
LINC01089,0.0838383838383838,0.0549672213817448
AC084018.2,0.00808080808080808,0.0037821482602118
SETD1B,0.0449494949494949,0.0426122037317196
PSMD9,0.269191919191919,0.249369641956631
WDR66,0.0398989898989899,0.0186585980837115
AC069503.1,0.00353535353535354,0
BCL7A,0.196464646464646,0.11976802824004
MLXIP,0.227272727272727,0.179778113968734
B3GNT4,0.0398989898989899,0.0549672213817448
DIABLO.1,0.0803030303030303,0.062279374684821
VPS33A,0.0277777777777778,0.0211800302571861
CLIP1,0.107575757575758,0.0796772566817953
ZCCHC8,0.191414141414141,0.131366616238023
AC127002.1,0.00505050505050505,0.00100857286938981
RSRC2,0.742929292929293,0.740796772566818
KNTC1,0.0914141414141414,0.0726172465960666
DENR,0.463131313131313,0.294251134644478
HIP1R,0.0696969696969697,0.0413514876449824
VPS37B,0.0909090909090909,0.0471507816439738
ABCB9,0.0429292929292929,0.0302571860816944
OGFOD2,0.0631313131313131,0.0413514876449824
ARL6IP4,1.0959595959596,0.910741301059002
PITPNM2,0.0227272727272727,0.00428643469490671
MPHOSPH9,0.149494949494949,0.114473020675744
C12orf65,0.238888888888889,0.225920322743318
CDK2AP1,0.278787878787879,0.199445284921836
SBNO1,0.263131313131313,0.196671709531014
AC137767.1,0.114646464646465,0.0882501260716087
KMT5A,0.0484848484848485,0.0385779122541604
RILPL2,0.0757575757575758,0.0486636409480585
